arrivals,timely_completions,late_completions,rejections,timeouts,sla_violation_fraction,rejection_rate,timeout_rate,p95_response_time_ms,algorithm,seed,trace,mean_reward,instance_seconds,drain_instance_seconds,scaling_actions,forecast_mae_rps,forecast_rmse_rps,startup_arrivals,startup_violations,startup_violation_rate,startup_violation_cohort_fraction
277185,136005,108528,0,32652,0.5093349207208182,0.0,0.11779858217436008,9996.585599491198,Threshold baseline,22,recurring,-0.6112618989311526,5040.0,40.0,8,108.30680695729284,134.93489701639376,90200,76744,0.850820399113082,0.27686923895593196
362223,109934,148978,19003,84308,0.6965018786769476,0.05246215728984631,0.23275164746578764,9998.520065538041,Threshold baseline,22,burst,-1.0865147562891486,4740.0,30.0,7,152.92802631687172,212.7385732023927,125732,125085,0.9948541341901823,0.34532594561913516
375501,364493,11008,0,0,0.029315501157120755,0.0,0.0,83.05522991372527,Threshold baseline,33,ramp,0.9424023922404259,5760.0,50.0,3,73.45650110393719,87.24507704105696,51418,10534,0.20486988992181726,0.028053187608022348
277185,136005,108528,0,32652,0.5093349207208182,0.0,0.11779858217436008,9996.585599491198,Threshold baseline,33,recurring,-0.6112618989311526,5040.0,40.0,8,108.30680695729284,134.93489701639376,90200,76744,0.850820399113082,0.27686923895593196
362223,109934,148978,19003,84308,0.6965018786769476,0.05246215728984631,0.23275164746578764,9998.520065538041,Threshold baseline,33,burst,-1.0865147562891486,4740.0,30.0,7,152.92802631687172,212.7385732023927,125732,125085,0.9948541341901823,0.34532594561913516
375501,364493,11008,0,0,0.029315501157120755,0.0,0.0,83.05522991372527,Threshold baseline,44,ramp,0.9424023922404259,5760.0,50.0,3,73.45650110393719,87.24507704105696,51418,10534,0.20486988992181726,0.028053187608022348
277185,136005,108528,0,32652,0.5093349207208182,0.0,0.11779858217436008,9996.585599491198,Threshold baseline,44,recurring,-0.6112618989311526,5040.0,40.0,8,108.30680695729284,134.93489701639376,90200,76744,0.850820399113082,0.27686923895593196
362223,109934,148978,19003,84308,0.6965018786769476,0.05246215728984631,0.23275164746578764,9998.520065538041,Threshold baseline,44,burst,-1.0865147562891486,4740.0,30.0,7,152.92802631687172,212.7385732023927,125732,125085,0.9948541341901823,0.34532594561913516
375501,364493,11008,0,0,0.029315501157120755,0.0,0.0,83.05522991372527,Threshold baseline,55,ramp,0.9424023922404259,5760.0,50.0,3,73.45650110393719,87.24507704105696,51418,10534,0.20486988992181726,0.028053187608022348
277185,136005,108528,0,32652,0.5093349207208182,0.0,0.11779858217436008,9996.585599491198,Threshold baseline,55,recurring,-0.6112618989311526,5040.0,40.0,8,108.30680695729284,134.93489701639376,90200,76744,0.850820399113082,0.27686923895593196
362223,109934,148978,19003,84308,0.6965018786769476,0.05246215728984631,0.23275164746578764,9998.520065538041,Threshold baseline,55,burst,-1.0865147562891486,4740.0,30.0,7,152.92802631687172,212.7385732023927,125732,125085,0.9948541341901823,0.34532594561913516
