algorithm,seed,episode,mean_reward,epsilon
Dyna-Q,22,13,-1.2242219907723317,0.22859007832898182
Dyna-Q,22,14,-2.3435504487658667,0.1690600522193212
Dyna-Q,22,15,0.19405062135061,0.10953002610966056
Dyna-Q,22,16,-1.32748578639455,0.050000000000000044
Dyna-Q,22,17,-0.7822682045115054,0.050000000000000044
Dyna-Q,22,18,0.1169375946285401,0.050000000000000044
Dyna-Q,22,19,-1.0964700071080202,0.050000000000000044
Dyna-Q,22,20,-3.2819817140329923,0.050000000000000044
Dyna-Q,33,1,-1.6260985142320183,0.9429503916449086
Dyna-Q,33,2,0.569984886819277,0.883420365535248
Dyna-Q,33,3,0.7966786821947464,0.8238903394255874
Dyna-Q,33,4,-0.2851455557051511,0.7643603133159269
Dyna-Q,33,5,-0.31001101787334645,0.7048302872062664
Dyna-Q,33,6,-0.257754889025707,0.6453002610966058
Dyna-Q,33,7,-1.924727923509898,0.5857702349869451
Dyna-Q,33,8,-0.7026076013551784,0.5262402088772846
Dyna-Q,33,9,-0.05710742982991457,0.466710182767624
Dyna-Q,33,10,0.09021579182612734,0.4071801566579635
Dyna-Q,33,11,-1.6254212014729748,0.34765013054830296
Dyna-Q,33,12,0.07496349471010107,0.28812010443864233
Dyna-Q,33,13,0.4337352614709655,0.22859007832898182
Dyna-Q,33,14,-0.0744155350703944,0.1690600522193212
Dyna-Q,33,15,0.79018410472781,0.10953002610966056
Dyna-Q,33,16,-0.1878269547887241,0.050000000000000044
Dyna-Q,33,17,0.19381679410201072,0.050000000000000044
Dyna-Q,33,18,0.09460075976411547,0.050000000000000044
Dyna-Q,33,19,1.3048092901345194,0.050000000000000044
Dyna-Q,33,20,0.10684136042745514,0.050000000000000044
Dyna-Q,44,1,-0.261653507808916,0.9429503916449086
Dyna-Q,44,2,-1.3661260520662075,0.883420365535248
Dyna-Q,44,3,-0.05401317525050595,0.8238903394255874
Dyna-Q,44,4,-0.35409092984908136,0.7643603133159269
Dyna-Q,44,5,0.6076221894695791,0.7048302872062664
Dyna-Q,44,6,0.05583828395636211,0.6453002610966058
Dyna-Q,44,7,-1.8424442187731485,0.5857702349869451
Dyna-Q,44,8,1.0592719235762438,0.5262402088772846
Dyna-Q,44,9,-1.210880001990431,0.466710182767624
Dyna-Q,44,10,0.2583671283825358,0.4071801566579635
Dyna-Q,44,11,-0.8478381244509735,0.34765013054830296
Dyna-Q,44,12,-3.215136680808165,0.28812010443864233
Dyna-Q,44,13,-2.4653700385812765,0.22859007832898182
Dyna-Q,44,14,-0.24262604501192817,0.1690600522193212
Dyna-Q,44,15,-0.12277581222264448,0.10953002610966056
Dyna-Q,44,16,-0.5119900683583333,0.050000000000000044
Dyna-Q,44,17,1.2166597222222222,0.050000000000000044
Dyna-Q,44,18,-0.3960121162245616,0.050000000000000044
Dyna-Q,44,19,0.19803800383220013,0.050000000000000044
Dyna-Q,44,20,0.2749581860454645,0.050000000000000044
Dyna-Q,55,1,1.1416180555555557,0.9429503916449086
Dyna-Q,55,2,0.15474126705950084,0.883420365535248
Dyna-Q,55,3,-0.32217716289846215,0.8238903394255874
Dyna-Q,55,4,1.0662653147737082,0.7643603133159269
Dyna-Q,55,5,-1.144588139174078,0.7048302872062664
Dyna-Q,55,6,-3.2680738512392993,0.6453002610966058
Dyna-Q,55,7,-1.620600053499129,0.5857702349869451
Dyna-Q,55,8,1.212160180765685,0.5262402088772846
Dyna-Q,55,9,-1.5616299706522978,0.466710182767624
Dyna-Q,55,10,-0.6363231975836549,0.4071801566579635
Dyna-Q,55,11,1.2583194444444443,0.34765013054830296
Dyna-Q,55,12,-1.2718026838139609,0.28812010443864233
Dyna-Q,55,13,0.41696024300180423,0.22859007832898182
Dyna-Q,55,14,-0.7943871144326159,0.1690600522193212
Dyna-Q,55,15,-0.9885117672205679,0.10953002610966056
Dyna-Q,55,16,1.1414722222222222,0.050000000000000044
Dyna-Q,55,17,0.36771920289855076,0.050000000000000044
Dyna-Q,55,18,-1.1508242968553437,0.050000000000000044
Dyna-Q,55,19,-1.679470158792098,0.050000000000000044
Dyna-Q,55,20,1.3439571554041594,0.050000000000000044
Predictive Q-Learning,11,1,-0.31855363671818654,0.9429503916449086
Predictive Q-Learning,11,2,-2.8954085899776936,0.883420365535248
Predictive Q-Learning,11,3,-1.2438085307502862,0.8238903394255874
Predictive Q-Learning,11,4,-1.369891965600715,0.7643603133159269
